DATE,IPG3113N
2012-10-01,99.8541
2012-11-01,100.7874
2012-12-01,100.7643
2013-01-01,92.8393
2013-02-01,88.4378
2013-03-01,88.9572
2013-04-01,82.6418
2013-05-01,79.6009
2013-06-01,79.7216
2013-07-01,80.3623
2013-08-01,87.3990
2013-09-01,92.0523
2013-10-01,102.5585
2013-11-01,106.4783
2013-12-01,108.0668
2014-01-01,91.8045
2014-02-01,91.3464
2014-03-01,88.8527
2014-04-01,81.7442
2014-05-01,77.6292
2014-06-01,78.3359
2014-07-01,77.0192
2014-08-01,85.4452
2014-09-01,92.7103
2014-10-01,103.4097
2014-11-01,110.9082
2014-12-01,109.9962
2015-01-01,93.6676
2015-02-01,92.4733
2015-03-01,90.2388
2015-04-01,85.5111
2015-05-01,81.8907
2015-06-01,85.4442
2015-07-01,87.4143
2015-08-01,99.0757
2015-09-01,99.8525
2015-10-01,110.3226
2015-11-01,109.3626
2015-12-01,106.4516
2016-01-01,97.1509
2016-02-01,97.9475
2016-03-01,98.4111
2016-04-01,95.0657
2016-05-01,93.3682
2016-06-01,93.8015
2016-07-01,94.3271
2016-08-01,96.2487
2016-09-01,101.3271
2016-10-01,111.2323
2016-11-01,108.1348
2016-12-01,107.5859
2017-01-01,100.4828
2017-02-01,103.5407
2017-03-01,95.2095
2017-04-01,96.9654
2017-05-01,91.2276
2017-06-01,92.9268
2017-07-01,90.3917
2017-08-01,100.6988
2017-09-01,106.6639
2017-10-01,106.8689
2017-11-01,105.1628
2017-12-01,109.8611
2018-01-01,99.9651
2018-02-01,101.7932
2018-03-01,97.6257
2018-04-01,97.1776
2018-05-01,93.2973
2018-06-01,90.7030
2018-07-01,90.7825
2018-08-01,96.9555
2018-09-01,105.8597
2018-10-01,105.4468
2018-11-01,106.0408
2018-12-01,111.4674
2019-01-01,102.3790
2019-02-01,103.2079
2019-03-01,102.5133
2019-04-01,96.6862
2019-05-01,93.2061
2019-06-01,93.6885
2019-07-01,91.3219
2019-08-01,99.4256
2019-09-01,108.2320
2019-10-01,109.2961
2019-11-01,112.5268
2019-12-01,115.7811
2020-01-01,100.1032
2020-02-01,102.5297
2020-03-01,96.9412
2020-04-01,82.4777
2020-05-01,84.4155
2020-06-01,87.5411
2020-07-01,91.2016
2020-08-01,100.3417
2020-09-01,106.3095
2020-10-01,114.2083
2020-11-01,116.2062
2020-12-01,117.5581
2021-01-01,110.1841
2021-02-01,101.7558
2021-03-01,102.2030
2021-04-01,94.1243
2021-05-01,94.0966
2021-06-01,94.4684
2021-07-01,92.0391
2021-08-01,98.7301
2021-09-01,106.2289
2021-10-01,126.5753
2021-11-01,127.6255
2021-12-01,129.0640
2022-01-01,113.1828
2022-02-01,111.8384
2022-03-01,110.4263
2022-04-01,111.0788
2022-05-01,103.3188
2022-06-01,105.4497
2022-07-01,104.2348
2022-08-01,105.6166
2022-09-01,119.0161
2022-10-01,130.2894
